ID,SCHOOL,DISTRICT,URBAN,FIRSTSUS,MALE,RACE,POVERTY,SPED,GRADE,enrolldate,exitdate,MONTH,GRADE7,GRADE8,INCIDENT,INC2,SCHLINC,SCHLENR,SCHLEXIT,SCHINC,SCHENRL,SCHEXIT,QUARTER,_st,_d,_t,_t0
2070,7736,3269,1,1,1,2,1,0,6,18144,18424,2,0,0,18172,2009-10-02,23,4,283,23,4,179,1,1,1,22,3
12967,7981,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18172,2009-10-02,23,1,289,23,1,180,1,1,1,22,0
12878,39605,5656,0,0,0,5,0,0,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
12988,7981,3269,1,1,1,5,1,0,8,18141,18424,2,0,1,18175,2009-10-05,24,1,283,24,1,179,1,1,1,23,0
1118,7874,3269,1,0,1,1,1,1,8,18156,18165,NA,0,1,20000,2014-10-04,181,11,24,NA,11,18,NA,1,0,23,10
6388,39605,5656,0,0,0,3,1,0,6,18141,18165,NA,0,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
6350,39605,5656,0,1,1,3,1,1,8,18141,18424,2,0,1,18175,2009-10-05,24,1,283,24,1,179,1,1,1,23,0
93,6232,896,0,0,1,5,1,1,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
6338,39604,5656,0,0,1,3,1,0,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
9980,8631,3269,1,0,0,5,0,0,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
12815,30748,3549,0,1,1,5,0,1,8,18141,18424,2,0,1,18175,2009-10-05,24,1,283,24,1,179,1,1,1,23,0
8827,7208,4144,0,0,1,2,1,0,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
1968,6938,3549,0,0,0,5,0,0,8,18141,18165,NA,0,1,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
10826,7874,3269,1,0,1,5,0,0,7,18141,18165,NA,1,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
8051,7736,3269,1,1,1,2,1,0,8,18141,18407,2,0,1,18175,2009-10-05,24,1,266,24,1,167,1,1,1,23,0
10089,39605,5656,0,0,1,5,0,1,6,18141,18165,NA,0,0,20000,2014-10-04,181,1,24,NA,1,18,NA,1,0,23,0
11193,7874,3269,1,1,1,2,1,1,7,18141,18360,2,1,0,18176,2009-10-06,25,1,219,25,1,134,1,1,1,24,0
4001,30748,3549,0,1,0,5,0,0,7,18141,18430,2,1,0,18176,2009-10-06,25,1,289,25,1,180,1,1,1,24,0
1132,7644,6181,0,1,1,2,1,1,8,18141,18424,2,0,1,18176,2009-10-06,25,1,283,25,1,179,1,1,1,24,0
8971,7981,3269,1,1,0,5,1,1,6,18141,18430,2,0,0,18176,2009-10-06,25,1,289,25,1,180,1,1,1,24,0
8166,8684,3269,1,1,0,2,1,1,8,18141,18424,2,0,1,18176,2009-10-06,25,1,283,25,1,179,1,1,1,24,0
1202,26957,469,0,1,1,5,0,1,8,18141,18417,2,0,1,18177,2009-10-07,26,1,276,26,1,174,1,1,1,25,0
8299,8631,3269,1,1,0,5,1,1,7,18141,18430,2,1,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
6725,8582,3269,1,1,1,2,1,0,6,18141,18430,2,0,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
6757,7736,3269,1,1,1,2,1,0,6,18144,18191,2,0,0,18177,2009-10-07,26,4,50,26,4,36,1,1,1,25,3
1110,8582,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
8995,7873,3269,1,1,0,5,0,1,7,18141,18430,2,1,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
8921,8631,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
2241,8631,3269,1,1,1,2,1,0,7,18141,18430,2,1,0,18177,2009-10-07,26,1,289,26,1,180,1,1,1,25,0
4717,6858,3381,0,1,1,5,0,1,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
12237,8444,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
9415,7977,3269,1,1,1,2,1,0,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
5623,8684,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
9973,7736,3269,1,1,1,5,1,1,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
1673,8684,3269,1,1,1,2,0,0,6,18141,18287,2,0,0,18178,2009-10-08,27,1,146,27,1,88,1,1,1,26,0
6106,7874,3269,1,1,1,2,1,1,6,18141,18430,2,0,0,18178,2009-10-08,27,1,289,27,1,180,1,1,1,26,0
7023,7873,3269,1,0,0,1,1,0,6,18141,18168,NA,0,0,20000,2014-10-04,181,1,27,NA,1,19,NA,1,0,26,0
